id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
1,21750000003,299000,0,2009-10-13,1944,0.0405,29.74614,-95.36987,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912110,Elementary,75,1,6
1,21750000003,299000,0,2009-10-13,1944,0.0405,29.74614,-95.36987,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912467,Middle,85,1,6
1,21750000003,299000,0,2009-10-13,1944,0.0405,29.74614,-95.36987,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912025,High,95,1,6
3,21750000018,296400,0,2018-06-29,1944,0.0348,29.74619,-95.36996,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912110,Elementary,75,1,6
3,21750000018,296400,0,2018-06-29,1944,0.0348,29.74619,-95.36996,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912467,Middle,85,1,6
3,21750000018,296400,0,2018-06-29,1944,0.0348,29.74619,-95.36996,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912025,High,95,1,6
4,21750000019,299803,0,2001-01-01,1944,0.0395,29.74624,-95.37004,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912025,High,95,1,6
4,21750000019,299803,0,2001-01-01,1944,0.0395,29.74624,-95.37004,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912058,Elementary,65,1,6
4,21750000019,299803,0,2001-01-01,1944,0.0395,29.74624,-95.37004,77002,8400.07,BALDWIN SQ/TUAM SQ/MCGREGOR,4743,101912463,Middle,95,1,6
5,41410000034,330500,-7.162921348,2004-07-23,2308,0.0261,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Elementary,65,1,0
5,41410000034,330500,-7.162921348,2004-07-23,2308,0.0261,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Middle,65,1,0
5,41410000034,330500,-7.162921348,2004-07-23,2308,0.0261,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912322,High,95,1,0
6,41410000035,356743,4.006705539,1998-01-02,2592,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Elementary,65,1,0
6,41410000035,356743,4.006705539,1998-01-02,2592,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Middle,65,1,0
6,41410000035,356743,4.006705539,1998-01-02,2592,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912322,High,95,1,0
7,41410000036,335978,-12.34937323,2016-09-16,2292,0.037,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Elementary,65,1,0
7,41410000036,335978,-12.34937323,2016-09-16,2292,0.037,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Middle,65,1,0
7,41410000036,335978,-12.34937323,2016-09-16,2292,0.037,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912322,High,95,1,0
8,41410000037,363957,-12.11952191,2012-09-18,2630,0.0317,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Elementary,65,1,0
8,41410000037,363957,-12.11952191,2012-09-18,2630,0.0317,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Middle,65,1,0
8,41410000037,363957,-12.11952191,2012-09-18,2630,0.0317,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912322,High,95,1,0
9,41410000038,356647,-12.26093888,2016-08-24,2560,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Elementary,65,1,0
9,41410000038,356647,-12.26093888,2016-08-24,2560,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Middle,65,1,0
9,41410000038,356647,-12.26093888,2016-08-24,2560,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912322,High,95,1,0
10,41410000039,373271,-6.027496582,2014-06-09,2544,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Elementary,65,1,0
10,41410000039,373271,-6.027496582,2014-06-09,2544,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912058,Middle,65,1,0
10,41410000039,373271,-6.027496582,2014-06-09,2544,0.0291,29.7444,-95.38218,77006,8333.12,ONE WESTHEIMER LOFT,3669,101912322,High,95,1,0
12,50110000007,262487,16.66088889,2018-08-16,1120,0.1148,29.7547,-95.37838,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
12,50110000007,262487,16.66088889,2018-08-16,1120,0.1148,29.7547,-95.37838,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
12,50110000007,262487,16.66088889,2018-08-16,1120,0.1148,29.7547,-95.37838,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
14,50120000005,410686,9.999973216,2012-12-14,1476,0.1148,29.7556,-95.37855,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
14,50120000005,410686,9.999973216,2012-12-14,1476,0.1148,29.7556,-95.37855,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
14,50120000005,410686,9.999973216,2012-12-14,1476,0.1148,29.7556,-95.37855,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
16,50130000009,245100,8.884940027,2015-03-13,1052,0.1148,29.75533,-95.37896,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
16,50130000009,245100,8.884940027,2015-03-13,1052,0.1148,29.75533,-95.37896,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
16,50130000009,245100,8.884940027,2015-03-13,1052,0.1148,29.75533,-95.37896,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
18,50140000008,262020,15.57190494,1988-02-26,1636,0.1148,29.7547,-95.3791,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
18,50140000008,262020,15.57190494,1988-02-26,1636,0.1148,29.7547,-95.3791,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
