id,appraised_value,sq_ft,acreage,latitude,longitude,zip_code,flood_risk,,,,
1,$ 299000,1944,0.0405,29.74614,-95.36987,77002,1,,,$,299000
3,$ 296400,1944,0.0348,29.74619,-95.36996,77002,1,,,$,296400
4,$ 299803,1944,0.0395,29.74624,-95.37004,77002,1,,,$,299803
5,$ 330500,2308,0.0261,29.7444,-95.38218,77006,1,,,$,330500
6,$ 356743,2592,0.0291,29.7444,-95.38218,77006,1,,,$,356743
7,$ 335978,2292,0.037,29.7444,-95.38218,77006,1,,,$,335978
8,$ 363957,2630,0.0317,29.7444,-95.38218,77006,1,,,$,363957
9,$ 356647,2560,0.0291,29.7444,-95.38218,77006,1,,,$,356647
10,$ 373271,2544,0.0291,29.7444,-95.38218,77006,1,,,$,373271
12,$ 262487,1120,0.1148,29.7547,-95.37838,77019,1,,,$,262487
14,$ 410686,1476,0.1148,29.7556,-95.37855,77019,1,,,$,410686
16,$ 245100,1052,0.1148,29.75533,-95.37896,77019,1,,,$,245100
18,$ 262020,1636,0.1148,29.7547,-95.3791,77019,1,,,$,262020
20,$ 209871,1188,0.1148,29.75495,-95.38103,77019,1,,,$,209871
21,$ 202420,1276,0.1148,29.75468,-95.38103,77019,1,,,$,202420
22,$ 83954,1754,0.0878,29.75373,-95.381,77019,1,,,$,83954
24,$ 309229,2546,0.0918,29.75559,-95.38192,77019,1,,,$,309229
25,$ 322102,1608,0.109,29.75433,-95.38191,77019,1,,,$,322102
26,$ 346500,1608,0.11,29.75558,-95.38281,77019,1,,,$,346500
27,$ 148166,1418,0.1148,29.75531,-95.38234,77019,1,,,$,148166
29,$ 376000,1560,0.0857,29.75467,-95.38282,77019,1,,,$,376000
30,$ 35918,1668,0.0367,29.7555,-95.38322,77019,1,,,$,35918
31,$ 111111,813,0.0918,29.75558,-95.38334,77019,1,,,$,111111
32,$ 155442,870,0.0671,29.754,-95.38322,77019,1,,,$,155442
33,$ 196566,792,0.0528,29.75404,-95.38348,77019,1,,,$,196566
34,$ 289030,3298,0.0562,29.75405,-95.38338,77019,1,,,$,289030
37,$ 148166,1375,0.0582,29.7566,-95.37829,77019,1,,,$,148166
38,$ 281338,1336,0.0582,29.7566,-95.37821,77019,1,,,$,281338
39,$ 283523,1330,0.0574,29.75686,-95.37933,77019,1,,,$,283523
40,$ 277000,1330,0.0574,29.75687,-95.37925,77019,1,,,$,277000
41,$ 257681,1360,0.0581,29.75659,-95.37949,77019,1,,,$,257681
43,$ 167205,1296,0.0581,29.75659,-95.37902,77019,1,,,$,167205
44,$ 265681,1360,0.0581,29.75659,-95.37894,77019,1,,,$,265681
45,$ 273000,1296,0.0581,29.75659,-95.37886,77019,1,,,$,273000
46,$ 265884,1360,0.0581,29.75659,-95.37878,77019,1,,,$,265884
48,$ 176357,1360,0.0567,29.75624,-95.37902,77019,1,,,$,176357
49,$ 179280,1360,0.0567,29.75624,-95.37894,77019,1,,,$,179280
50,$ 266207,1296,0.0567,29.75625,-95.37886,77019,1,,,$,266207
51,$ 179280,1360,0.0567,29.75625,-95.37878,77019,1,,,$,179280
53,$ 212960,1209,0.0574,29.75588,-95.38032,77019,1,,,$,212960
54,$ 120861,1802,0.0413,29.75668,-95.38122,77019,1,,,$,120861
55,$ 323024,1749,0.0606,29.75695,-95.38087,77019,1,,,$,323024
56,$ 322204,1749,0.0554,29.75686,-95.38087,77019,1,,,$,322204
57,$ 320139,1749,0.0561,29.75677,-95.38087,77019,1,,,$,320139
59,$ 253332,1395,0.1228,29.75657,-95.38235,77019,1,,,$,253332
60,$ 310740,2434,0.1148,29.7562,-95.38355,77019,1,,,$,310740
61,$ 177963,744,0.0781,29.7568,-95.38323,77019,1,,,$,177963
62,$ 172735,942,0.0758,29.75681,-95.38342,77019,1,,,$,172735
63,$ 202753,684,0.1148,29.75681,-95.38355,77019,1,,,$,202753
64,$ 260600,713,0.1148,29.75687,-95.38367,77019,1,,,$,260600
65,$ 335500,1396,0.1148,29.75682,-95.38386,77019,1,,,$,335500
66,$ 155912,942,0.0633,29.75683,-95.38333,77019,1,,,$,155912
67,$ 53214,756,0.0234,29.75707,-95.38324,77019,1,,,$,53214
68,$ 57554,654,0.0252,29.75713,-95.38336,77019,1,,,$,57554
69,$ 327124,1802,0.0378,29.75634,-95.3797,77019,1,,,$,327124
70,$ 360398,2133,0.0378,29.75625,-95.3797,77019,1,,,$,360398
71,$ 353951,2108,0.0378,29.75616,-95.3797,77019,1,,,$,353951
72,$ 142507,1444,0.1156,29.77044,-95.35299,77002,1,,,$,142507
73,$ 240000,1776,0.0413,29.73998,-95.42093,77098,1,,,$,240000
74,$ 345000,1656,0.0317,29.73978,-95.42092,77098,1,,,$,345000
75,$ 422909,1946,0.0317,29.73971,-95.42092,77098,1,,,$,422909
76,$ 363900,1472,0.0317,29.73991,-95.42092,77098,1,,,$,363900
77,$ 273340,1776,0.0317,29.73984,-95.42092,77098,1,,,$,273340
83,$ 426000,2439,0.0494,29.75684,-95.39289,77019,1,,,$,426000
84,$ 445500,2458,0.0495,29.75671,-95.39289,77019,1,,,$,445500
85,$ 328946,1674,0.0372,29.75658,-95.39277,77019,1,,,$,328946
86,$ 328425,1674,0.0371,29.75616,-95.39275,77019,1,,,$,328425
87,$ 328425,1674,0.0371,29.75603,-95.39275,77019,1,,,$,328425
90,$ 366447,1688,0.0487,29.75602,-95.39287,77019,1,,,$,366447
91,$ 360000,2172,0.0369,29.75603,-95.39265,77019,1,,,$,360000
92,$ 377212,1688,0.0487,29.75615,-95.39287,77019,1,,,$,377212
93,$ 381386,2172,0.0369,29.75616,-95.39266,77019,1,,,$,381386
94,$ 364387,2172,0.037,29.75658,-95.39277,77019,1,,,$,364387
95,$ 371763,1766,0.0487,29.75658,-95.39277,77019,1,,,$,371763
96,$ 340495,1776,0.035,29.7567,-95.39277,77019,1,,,$,340495
97,$ 368000,2627,0.0383,29.75673,-95.3928,77019,1,,,$,368000
98,$ 353000,2058,0.035,29.75685,-95.39277,77019,1,,,$,353000
99,$ 365000,2508,0.0385,29.75685,-95.39269,77019,1,,,$,365000
100,$ 395000,2508,0.0378,29.75643,-95.39276,77019,1,,,$,395000
